path,label,warm_ratio,bright_ratio,edge_ratio,largest_blob_ratio,mean_saturation,mean_value,std_value,p90_value,p10_value,dark_ratio,high_saturation_ratio
data\datasets\bell_dataset\strike\frame_000640.jpg,1,0.321181640625,0.22305989583333333,0.001279296875,0.34197916666666667,52.78232747395833,178.985517578125,69.62472636484289,252.0,78.0,0.011702473958333333,0.0261328125
data\datasets\bell_dataset\strike\frame_000650.jpg,1,0.4743359375,0.13763671875,0.00275390625,0.4834488932291667,80.06445963541667,111.68467447916667,73.24301834634191,243.0,38.0,0.31023763020833334,0.129755859375
data\datasets\bell_dataset\strike\frame_000730.jpg,1,0.22302083333333333,0.08940755208333333,0.005345052083333334,0.22609537760416668,57.71109375,128.91405598958335,70.45976972773475,251.0,54.0,0.107373046875,0.046858723958333334
data\datasets\bell_dataset\strike\frame_000740.jpg,1,0.37530598958333333,0.15877278645833334,0.0042513020833333335,0.371796875,75.50822916666667,121.48405924479167,74.33789471692353,250.0,46.0,0.21521809895833333,0.187841796875
data\datasets\bell_dataset\strike\frame_000750.jpg,1,0.4464876302083333,0.14450520833333333,0.0034993489583333335,0.4478987630208333,91.895048828125,109.86966796875,75.08443293753515,248.0,39.0,0.31571614583333335,0.33759765625
data\datasets\bell_dataset\strike\frame_000760.jpg,1,0.5066373697916666,0.20503580729166668,0.0021614583333333334,0.5176155598958333,85.23354817708334,115.59552083333334,77.35863819324994,248.0,36.0,0.3002018229166667,0.19316731770833334
data\datasets\bell_dataset\strike\frame_000770.jpg,1,0.47685546875,0.20386067708333333,0.0,0.4840771484375,83.24043294270834,108.56965169270833,73.451066292649,217.0,26.0,0.3190104166666667,0.08667643229166666
data\datasets\bell_dataset\strike\frame_000870.jpg,1,0.658876953125,0.3369498697916667,0.0013671875,0.7586067708333334,69.86234375,160.62142252604167,64.64728235544916,251.0,70.0,0.032565104166666664,0.12700846354166667
data\datasets\bell_dataset\strike\frame_000880.jpg,1,0.21626627604166668,0.07625325520833333,0.004658203125,0.22537923177083333,77.42787109375,98.08263997395834,74.79124735154728,242.0,33.0,0.43845703125,0.06120442708333333
data\datasets\bell_dataset\strike\frame_000940.jpg,1,0.362138671875,0.140107421875,0.01001953125,0.3683740234375,71.963623046875,135.92069986979166,70.31014707103667,251.0,60.0,0.06820638020833333,0.178603515625
data\datasets\bell_dataset\strike\frame_000950.jpg,1,0.6204850260416667,0.365224609375,0.00111328125,0.6617431640625,72.21589192708333,163.74916341145834,75.07963429121591,251.0,50.0,0.12149739583333333,0.182587890625
data\datasets\bell_dataset\strike\frame_001000.jpg,1,0.45195963541666667,0.22130859375,0.003330078125,0.502236328125,69.75187174479167,144.40262044270833,71.07218457009445,251.0,59.0,0.07173828125,0.14571614583333334
data\datasets\bell_dataset\strike\frame_001050.jpg,1,0.2856803385416667,0.134375,0.008776041666666666,0.2957763671875,63.33725911458333,133.83635416666667,71.14905882444077,251.0,58.0,0.08742513020833333,0.08717122395833334
data\datasets\bell_dataset\strike\frame_001060.jpg,1,0.4847688802083333,0.171806640625,0.003977864583333333,0.5013248697916667,92.60077799479167,124.52607747395834,73.58793260565,250.0,47.0,0.18631184895833333,0.358115234375
data\datasets\bell_dataset\strike\frame_001070.jpg,1,0.5772981770833333,0.298720703125,0.00021158854166666667,0.5911181640625,82.97563151041666,128.99399088541668,78.66957125696774,248.0,36.0,0.24814453125,0.155966796875
data\datasets\bell_dataset\strike\frame_001150.jpg,1,0.5330794270833333,0.22880208333333332,0.0010188802083333332,0.5706282552083334,71.959296875,131.84305338541665,75.48237042756631,251.0,48.0,0.17583658854166667,0.052086588541666666
data\datasets\bell_dataset\strike\frame_001160.jpg,1,0.41915690104166664,0.11264973958333334,0.001875,0.4236197916666667,77.39723307291666,109.38154622395834,75.24554660448091,245.0,35.0,0.3500846354166667,0.07728515625
data\datasets\bell_dataset\strike\frame_001170.jpg,1,0.14059895833333333,0.08583333333333333,0.0021875,0.14964518229166668,72.88435221354166,99.95133463541667,76.05585522136427,246.0,32.0,0.4431282552083333,0.04048828125
data\datasets\bell_dataset\strike\frame_001370.jpg,1,0.70990234375,0.07276041666666666,0.000546875,0.7232373046875,93.57079752604167,96.33585286458333,51.347146390395295,171.0,43.0,0.2533040364583333,0.2469921875
data\datasets\bell_dataset\strike\frame_001440.jpg,1,0.27779947916666664,0.135400390625,0.00658203125,0.2757649739583333,61.61073893229167,132.68889322916667,73.51177544614066,251.0,54.0,0.111416015625,0.083486328125
data\datasets\bell_dataset\strike\frame_001470.jpg,1,0.6550358072916667,0.166103515625,0.000224609375,0.6545279947916667,81.75689778645834,113.81398111979166,60.26929732219035,194.0,47.0,0.19933919270833333,0.09779622395833333
data\datasets\bell_dataset\strike\frame_001630.jpg,1,0.1934375,0.08819010416666667,0.0030859375,0.20397623697916667,68.77186197916667,114.51931966145834,73.17726513925687,251.0,43.0,0.25640299479166667,0.033525390625
data\datasets\bell_dataset\strike\frame_001640.jpg,1,0.2949609375,0.11690104166666666,0.0015885416666666667,0.3094401041666667,73.30099934895833,106.91292317708333,76.57165431443823,248.0,36.0,0.400830078125,0.0908203125
data\datasets\bell_dataset\strike\frame_001700.jpg,1,0.31095052083333335,0.11332682291666667,0.002822265625,0.31960123697916665,70.96633138020833,130.07647135416667,71.28913233523858,251.0,58.0,0.080048828125,0.18017578125
data\datasets\bell_dataset\strike\frame_001710.jpg,1,0.7506575520833333,0.1403125,0.0005143229166666666,0.7768098958333334,95.44480794270834,108.985439453125,63.64228910968463,218.0,44.0,0.22671875,0.27390950520833335
data\datasets\bell_dataset\strike\frame_001800.jpg,1,0.6216145833333333,0.30902669270833333,0.0015755208333333333,0.7071240234375,67.84295247395833,167.60285807291666,65.4809611198184,252.0,77.0,0.025647786458333332,0.13354166666666667
data\datasets\bell_dataset\strike\frame_001840.jpg,1,0.20194661458333332,0.14472981770833335,0.006360677083333334,0.2212158203125,56.459326171875,135.59126627604167,74.22316761342799,251.0,55.0,0.103037109375,0.051298828125
data\datasets\bell_dataset\strike\frame_001850.jpg,1,0.45161783854166665,0.11886067708333334,0.0026822916666666666,0.4940185546875,91.36158854166666,109.155634765625,73.3899253245829,247.0,40.0,0.3268684895833333,0.32365234375
data\datasets\bell_dataset\strike\frame_001980.jpg,1,0.12352864583333334,0.13756184895833334,0.0045768229166666665,0.1434130859375,49.53087565104167,158.41841145833334,75.87084353886841,252.0,65.0,0.03926106770833333,0.027978515625
data\datasets\bell_dataset\strike\frame_002000.jpg,1,0.0899609375,0.023079427083333333,0.005361328125,0.09561686197916666,69.44260091145833,105.17770182291666,65.69815999515993,235.0,44.0,0.21318684895833334,0.111533203125
data\datasets\bell_dataset\strike\frame_002020.jpg,1,0.26603841145833335,0.087197265625,0.004716796875,0.2704622395833333,73.48363606770833,128.48811848958334,67.99517313579847,251.0,57.0,0.093525390625,0.18068033854166668
data\datasets\bell_dataset\strike\frame_002140.jpg,1,0.45042317708333335,0.08157877604166666,0.002890625,0.45221354166666666,80.91255208333334,104.86,63.61781022327133,202.0,39.0,0.2952376302083333,0.13110677083333333
data\datasets\bell_dataset\strike\frame_002150.jpg,1,0.3000716145833333,0.08142252604166667,0.0027766927083333333,0.3095849609375,74.83582682291667,123.32243489583334,67.56234240506157,249.0,52.0,0.130751953125,0.07903645833333334
data\datasets\bell_dataset\strike\frame_002180.jpg,1,0.47419921875,0.16003255208333333,0.006376953125,0.49876953125,82.90380533854167,137.89631510416666,66.18908036919277,250.0,60.0,0.06736328125,0.24078776041666666
data\datasets\bell_dataset\strike\frame_002190.jpg,1,0.435283203125,0.06806966145833333,0.0004654947916666667,0.4370572916666667,76.49224283854167,111.63433919270834,60.88684561221991,193.0,42.0,0.22421875,0.14189778645833334
data\datasets\bell_dataset\strike\frame_002320.jpg,1,0.5124544270833333,0.09287760416666667,0.0001953125,0.5020068359375,74.43113606770834,106.45441731770833,59.07142375557526,184.0,41.0,0.24580078125,0.07125325520833334
data\datasets\bell_dataset\strike\frame_002330.jpg,1,0.5522233072916667,0.22631510416666667,0.0008040364583333334,0.5953743489583333,67.218037109375,150.13837565104166,66.54491397159133,252.0,63.0,0.05603841145833333,0.09075846354166667
data\datasets\bell_dataset\strike\frame_002360.jpg,1,0.2044921875,0.04704752604166667,0.005735677083333333,0.20887532552083332,66.17779296875,118.683896484375,65.213534598605,249.0,51.0,0.13223307291666667,0.119560546875
data\datasets\bell_dataset\strike\frame_002370.jpg,1,0.27528971354166665,0.08236002604166667,0.0036328125,0.28277506510416667,69.353154296875,120.20452799479166,66.12396522459392,247.0,53.0,0.1198828125,0.12056640625
data\datasets\bell_dataset\strike\frame_002380.jpg,1,0.35662760416666667,0.10744466145833333,0.0014778645833333334,0.358720703125,73.017734375,131.87931640625,67.39056154782075,251.0,59.0,0.08019205729166666,0.17906901041666667
data\datasets\bell_dataset\strike\frame_002390.jpg,1,0.2895377604166667,0.11096354166666667,0.00275390625,0.28521321614583334,85.69710611979167,110.42537760416667,72.42177090868549,247.0,41.0,0.29014973958333334,0.23316731770833332
data\datasets\bell_dataset\strike\frame_002400.jpg,1,0.373408203125,0.128779296875,0.0028483072916666665,0.38097819010416667,88.580380859375,118.11223307291667,71.41411887779272,249.0,44.0,0.21021809895833332,0.2833658854166667
data\datasets\bell_dataset\strike\frame_002410.jpg,1,0.450859375,0.03420247395833333,0.0011393229166666667,0.45946940104166667,81.73493815104166,98.329248046875,57.96415253574549,177.0,39.0,0.27359375,0.13997395833333334
data\datasets\bell_dataset\strike\frame_002430.jpg,1,0.6047135416666667,0.26188802083333335,0.003688151041666667,0.6156005859375,95.16928059895834,133.29244791666667,53.334714331867104,203.0,61.0,0.07911783854166667,0.3160677083333333
data\datasets\bell_dataset\strike\frame_002540.jpg,1,0.6075520833333333,0.25430989583333335,0.0006119791666666667,0.6215152994791666,75.83933919270834,140.11334635416668,67.33554772361634,250.0,54.0,0.10567057291666666,0.15425455729166668
data\datasets\bell_dataset\strike\frame_002610.jpg,1,0.28474283854166665,0.10694986979166667,0.00908203125,0.18736979166666667,63.445514322916665,132.02197265625,71.04194792415694,251.0,56.0,0.09892903645833333,0.10988606770833333
data\datasets\bell_dataset\strike\frame_002630.jpg,1,0.3412109375,0.163671875,0.010143229166666667,0.3385465494791667,72.0605078125,139.22343098958333,73.575153394896,251.0,56.0,0.09291015625,0.16408528645833334
data\datasets\bell_dataset\strike\frame_002640.jpg,1,0.5752473958333333,0.06928059895833333,0.0013671875,0.589404296875,81.94859700520833,97.15687825520833,56.271913340581534,175.0,39.0,0.30819010416666665,0.10178059895833333
data\datasets\bell_dataset\strike\frame_002650.jpg,1,0.564140625,0.177431640625,8.138020833333333e-05,0.5934879557291667,73.28055013020834,124.57537109375,58.74954667538134,207.0,50.0,0.13283528645833334,0.11640299479166667
data\datasets\bell_dataset\strike\frame_002880.jpg,1,0.17287434895833334,0.06166341145833333,0.0012825520833333332,0.18347819010416666,73.87157552083333,103.169306640625,64.61415208539508,214.0,41.0,0.2742610677083333,0.11115559895833334
data\datasets\bell_dataset\strike\frame_003000.jpg,1,0.6322233072916666,0.28462890625,0.0031412760416666668,0.6450944010416667,76.612216796875,144.49017252604168,63.854039092047046,249.0,64.0,0.068935546875,0.20260091145833334
data\datasets\bell_dataset\strike\frame_003050.jpg,1,0.237412109375,0.10754557291666667,0.008284505208333333,0.24083821614583334,68.08916015625,128.168994140625,67.81922589698951,249.0,53.0,0.11633138020833333,0.13922526041666666
data\datasets\bell_dataset\strike\frame_003070.jpg,1,0.42871744791666666,0.20607747395833334,0.004309895833333333,0.46789713541666667,72.59100911458333,146.30083658854167,72.82554565233642,251.0,60.0,0.0682421875,0.15026692708333333
data\datasets\bell_dataset\strike\frame_003080.jpg,1,0.35762369791666665,0.08635091145833333,0.000712890625,0.39177734375,69.950244140625,113.48041666666667,59.77241756570756,196.0,45.0,0.19999348958333332,0.08555338541666667
data\datasets\bell_dataset\strike\frame_003260.jpg,1,0.3909733072916667,0.11095703125,0.008837890625,0.41535319010416666,82.86153971354166,133.71794921875,68.91548887959111,251.0,57.0,0.08761067708333334,0.24274739583333332
data\datasets\bell_dataset\strike\frame_003270.jpg,1,0.6021549479166667,0.16059895833333335,0.00533203125,0.6234635416666666,90.65673828125,128.97548828125,70.98209986143087,250.0,52.0,0.13372721354166667,0.30113606770833334
data\datasets\bell_dataset\strike\frame_003280.jpg,1,0.3341829427083333,0.24999674479166667,0.0011979166666666666,0.371494140625,74.98314127604166,138.5346875,74.7319199403793,249.0,46.0,0.18438151041666667,0.17048828125
data\datasets\bell_dataset\strike\frame_003380.jpg,1,0.35354166666666664,0.22640625,0.00572265625,0.4504215494791667,64.17483723958334,158.69492838541666,74.74091023717071,251.0,62.0,0.06268229166666667,0.08810872395833333
data\datasets\bell_dataset\strike\frame_003410.jpg,1,0.222412109375,0.10554361979166667,0.006669921875,0.16199055989583333,62.96658203125,131.82933268229166,68.26127079659172,251.0,56.0,0.095224609375,0.076787109375
data\datasets\bell_dataset\strike\frame_003430.jpg,1,0.48396158854166665,0.22126953125,0.001904296875,0.5086800130208333,82.61194661458333,136.55997395833333,76.01960900916008,251.0,48.0,0.167978515625,0.21732421875
data\datasets\bell_dataset\strike\frame_003440.jpg,1,0.5693587239583333,0.11443033854166666,0.0016438802083333333,0.5982340494791667,82.27076822916666,104.63431640625,57.76684976488905,200.0,38.0,0.241962890625,0.17406575520833334
data\datasets\bell_dataset\strike\frame_003560.jpg,1,0.5583138020833334,0.16817057291666668,0.0005859375,0.6049365234375,74.639794921875,128.678701171875,69.08548702668374,247.0,46.0,0.165791015625,0.06434244791666667
data\datasets\bell_dataset\strike\frame_003570.jpg,1,0.238427734375,0.027740885416666666,0.00107421875,0.24125651041666665,73.7569140625,103.43369140625,67.12999557794858,232.0,41.0,0.3018619791666667,0.056516927083333335
data\datasets\bell_dataset\strike\frame_003580.jpg,1,0.10611002604166667,0.07019205729166667,0.005172526041666667,0.11674967447916666,61.957431640625,122.72760091145834,71.49711273972376,251.0,49.0,0.171845703125,0.046604817708333336
data\datasets\bell_dataset\strike\frame_003670.jpg,1,0.36751953125,0.11024739583333333,0.0036653645833333334,0.3604329427083333,84.02916015625,118.7662890625,62.465648853988355,227.0,51.0,0.139111328125,0.22888346354166667
data\datasets\bell_dataset\strike\frame_003750.jpg,1,0.6379069010416667,0.26775390625,0.001845703125,0.6845247395833334,71.53303059895833,145.632197265625,72.40256534954726,251.0,55.0,0.10008138020833333,0.090810546875
data\datasets\bell_dataset\strike\frame_003760.jpg,1,0.242060546875,0.08580729166666666,0.0005436197916666666,0.2507405598958333,73.80015625,109.88068684895833,69.64504947277084,234.10000000003492,40.0,0.28245442708333335,0.106953125
data\datasets\bell_dataset\strike\frame_003820.jpg,1,0.36155598958333335,0.138291015625,0.0077473958333333336,0.3680240885416667,75.96189127604167,126.017978515625,72.13185526041482,251.0,51.0,0.13961263020833334,0.18017578125
data\datasets\bell_dataset\strike\frame_003830.jpg,1,0.3146516927083333,0.04701497395833333,0.006809895833333334,0.3044661458333333,82.303623046875,114.78999348958334,68.06234225857877,249.0,46.0,0.1984375,0.24041341145833334
data\datasets\bell_dataset\strike\frame_003840.jpg,1,0.2748893229166667,0.1739453125,0.007102864583333333,0.2559309895833333,70.03416666666666,139.60794270833333,77.30336564832878,252.0,51.0,0.1489453125,0.13079427083333334
data\datasets\bell_dataset\strike\frame_003850.jpg,1,0.6843684895833333,0.24838216145833333,0.00029622395833333334,0.723388671875,79.05463541666667,136.61214518229167,64.76094744584184,235.0,52.0,0.112734375,0.16940755208333333
data\datasets\bell_dataset\strike\frame_003980.jpg,1,0.7918977864583333,0.5089811197916667,0.0,0.8348453776041667,63.534205729166665,189.96158854166666,51.903800888714166,252.0,116.0,0.000107421875,0.07385091145833333
data\datasets\bell_dataset\strike\frame_003990.jpg,1,0.676630859375,0.11237630208333334,0.0004752604166666667,0.7426334635416667,86.69110677083333,109.90125651041667,65.77394537617663,225.0,43.0,0.23513671875,0.16734049479166666
data\datasets\bell_dataset\strike\frame_004000.jpg,1,0.102353515625,0.031796875,0.0020540364583333335,0.11746419270833333,73.235224609375,107.27215494791666,70.91987506390686,249.0,41.0,0.3230696614583333,0.03867838541666667
data\datasets\bell_dataset\strike\frame_004030.jpg,1,0.6028190104166666,0.23284830729166667,0.001630859375,0.6299788411458334,84.01902669270834,145.600595703125,70.76050075956287,251.0,59.0,0.08110026041666667,0.23450520833333333
data\datasets\bell_dataset\strike\frame_004040.jpg,1,0.8763671875,0.23733072916666667,2.2786458333333334e-05,0.8849658203125,83.02121744791667,133.24111979166668,59.57132874883955,223.0,57.0,0.09211588541666667,0.15425455729166668
data\datasets\bell_dataset\strike\frame_004050.jpg,1,0.28139322916666665,0.15614583333333334,0.0014973958333333334,0.314033203125,78.030185546875,116.08513671875,75.22795161948862,240.0,36.0,0.30597330729166666,0.0803515625
data\datasets\bell_dataset\strike\frame_004180.jpg,1,0.34349934895833334,0.22384114583333334,0.0038444010416666665,0.38487630208333334,58.54595703125,165.667578125,63.87712195488059,252.0,78.0,0.014635416666666666,0.060738932291666665
data\datasets\bell_dataset\strike\frame_004190.jpg,1,0.4671907552083333,0.170625,0.005113932291666666,0.5333854166666666,77.44722005208334,108.36764322916666,76.56628988013021,243.0,34.0,0.37275390625,0.0815625
data\datasets\bell_dataset\strike\frame_004200.jpg,1,0.7026432291666667,0.1530859375,0.0,0.7390234375,76.72437174479167,115.34809895833334,62.800082305136144,212.0,44.0,0.20609700520833332,0.11935546875
data\datasets\bell_dataset\strike\frame_004210.jpg,1,0.3159895833333333,0.09916666666666667,0.0009407552083333334,0.3326416015625,75.45720377604167,114.60115234375,68.70375501454915,236.0,43.0,0.24611002604166668,0.07318359375
data\datasets\bell_dataset\strike\frame_004220.jpg,1,0.22213216145833334,0.06809244791666667,0.001875,0.24048828125,79.61289388020833,100.36435872395833,68.71418081964644,225.0,37.0,0.37078776041666667,0.07379557291666666
data\datasets\bell_dataset\strike\frame_004270.jpg,1,0.1219140625,0.004925130208333333,0.005589192708333334,0.083779296875,61.540042317708334,125.48377278645833,60.058711593240496,240.0,59.0,0.07877604166666667,0.103740234375
data\datasets\bell_dataset\strike\frame_004320.jpg,1,0.6422005208333333,0.4892936197916667,0.004479166666666667,0.7248893229166666,65.70201497395833,184.38575520833334,62.02594321508804,251.0,87.0,0.016770833333333332,0.14826822916666665
data\datasets\bell_dataset\strike\frame_004430.jpg,1,0.4578580729166667,0.14344401041666666,0.01189453125,0.4937451171875,73.86677083333333,123.89318033854167,69.23698028632748,249.0,48.0,0.17601236979166668,0.08466796875
data\datasets\bell_dataset\strike\frame_004450.jpg,1,0.134794921875,0.07616861979166667,0.0025716145833333333,0.13630208333333332,66.870478515625,123.42911458333333,72.14822484964976,252.0,48.0,0.16983072916666667,0.06611328125
data\datasets\bell_dataset\strike\frame_004520.jpg,1,0.47235026041666667,0.06549479166666666,0.016552734375,0.4017236328125,83.89728841145833,130.50509765625,64.63887458896916,251.0,60.0,0.06820963541666666,0.28685872395833334
data\datasets\bell_dataset\strike\frame_004530.jpg,1,0.5403515625,0.17365885416666665,0.0009928385416666666,0.5389339192708333,84.77898111979167,119.23244791666667,65.62743123867389,219.0,45.0,0.2037890625,0.20247721354166667
data\datasets\bell_dataset\strike\frame_004630.jpg,1,0.5779915364583333,0.36468098958333334,0.0013411458333333333,0.6250569661458333,68.66146809895834,200.59638346354166,53.8530303771373,251.0,120.0,0.00052734375,0.2274609375
data\datasets\bell_dataset\strike\frame_004650.jpg,1,0.25695963541666667,0.068291015625,0.005904947916666667,0.27881510416666666,75.41119466145834,124.08587890625,68.97963586360804,251.0,52.0,0.13726888020833333,0.123896484375
data\datasets\bell_dataset\strike\frame_004720.jpg,1,0.3056998697916667,0.093154296875,0.008857421875,0.30957356770833333,66.85166666666667,127.231923828125,70.0342983105676,252.0,50.0,0.13480143229166666,0.13497395833333334
data\datasets\bell_dataset\strike\frame_004740.jpg,1,0.28555989583333335,0.15870442708333332,0.006302083333333333,0.3115152994791667,68.05920572916666,136.95375651041667,76.66270774421608,252.0,52.0,0.13722330729166668,0.144736328125
data\datasets\bell_dataset\strike\frame_004750.jpg,1,0.587421875,0.2405078125,0.0025423177083333335,0.6308528645833333,82.02857421875,135.73400716145832,65.35590473413352,249.0,56.0,0.098671875,0.23461588541666667
data\datasets\bell_dataset\strike\frame_004840.jpg,1,0.456220703125,0.24601236979166666,0.0016764322916666666,0.3976334635416667,73.14503255208334,144.464833984375,61.60408610481677,233.0,61.0,0.071376953125,0.13810221354166666
data\datasets\bell_dataset\strike\frame_004850.jpg,1,0.47566080729166665,0.10364908854166667,0.0002897135416666667,0.4899072265625,68.04441080729167,122.652412109375,58.00846959960674,200.0,53.0,0.11434244791666667,0.090830078125
data\datasets\bell_dataset\strike\frame_004860.jpg,1,0.08802734375,0.03404296875,0.0017610677083333332,0.09202962239583333,70.74038411458334,98.31583658854167,64.98019632601186,224.0,39.0,0.31617838541666665,0.06759765625
data\datasets\bell_dataset\strike\frame_004950.jpg,1,0.8274251302083333,0.25969075520833335,0.0012109375,0.86599609375,99.706103515625,138.909111328125,64.55779259665287,251.0,60.0,0.07245768229166667,0.35878580729166665
data\datasets\bell_dataset\strike\frame_004960.jpg,1,0.499013671875,0.21249348958333333,0.001572265625,0.5519742838541667,77.071328125,126.76712239583334,71.76497683991806,247.0,44.0,0.19623046875,0.1401171875
data\datasets\bell_dataset\strike\frame_004980.jpg,1,0.40828776041666665,0.050771484375,1.3020833333333334e-05,0.4364290364583333,78.54358723958333,105.04275065104167,54.71323303961721,179.0,46.0,0.19089518229166666,0.06718098958333334
data\datasets\bell_dataset\strike\frame_004990.jpg,1,0.14642252604166667,0.106591796875,0.0026334635416666668,0.1633642578125,69.06734049479167,118.04531575520834,69.92667407086182,241.0,46.0,0.19466796875,0.03724934895833333
data\datasets\bell_dataset\strike\frame_005130.jpg,1,0.7700065104166667,0.4766764322916667,0.00023763020833333335,0.7816845703125,85.59517578125,157.56867513020833,60.117613814569694,241.0,72.0,0.027545572916666667,0.2007421875
data\datasets\bell_dataset\strike\frame_005290.jpg,1,0.456240234375,0.134921875,0.0048828125,0.47692220052083334,79.308125,128.52629557291667,70.65057265596481,251.0,54.0,0.10947265625,0.19715169270833333
data\datasets\bell_dataset\strike\frame_005300.jpg,1,0.8713020833333334,0.24829752604166666,0.00048177083333333335,0.891005859375,97.63156575520833,136.54250651041667,65.18999807828324,245.0,55.0,0.10319986979166666,0.305126953125
data\datasets\bell_dataset\strike\frame_005310.jpg,1,0.40630859375,0.30388671875,0.0004557291666666667,0.4327571614583333,72.48955078125,130.34133463541667,78.54438878874744,232.0,31.0,0.294169921875,0.07281901041666666
data\datasets\bell_dataset\strike\frame_005340.jpg,1,0.473701171875,0.3861360677083333,0.0,0.5092415364583334,55.46742513020833,179.487216796875,54.29945793617681,251.0,97.0,0.026920572916666666,0.045110677083333335
data\datasets\bell_dataset\strike\frame_005350.jpg,1,0.4323046875,0.17234049479166666,0.00025390625,0.4530257161458333,77.00873372395833,118.79426106770833,76.17939789095341,249.0,39.0,0.282890625,0.037340494791666665
data\datasets\bell_dataset\strike\frame_005360.jpg,1,0.14326171875,0.048284505208333335,0.0006868489583333334,0.15335286458333333,83.033037109375,101.72548828125,69.97437357431899,245.0,40.0,0.36834635416666667,0.090478515625
data\datasets\bell_dataset\strike\frame_005500.jpg,1,0.26447916666666665,0.07918294270833333,0.007457682291666667,0.26824381510416667,63.792659505208334,131.59860026041667,67.49396089395933,251.0,60.0,0.070341796875,0.09587890625
data\datasets\bell_dataset\strike\frame_005510.jpg,1,0.42953125,0.13603515625,0.002916666666666667,0.4366227213541667,75.23604817708333,125.72119140625,71.73401752987479,250.0,51.0,0.146640625,0.15744791666666666
